movie_id,movie_name,year,certificate,runtime,rating,description,director,actor,votes,gross_usd,genre
tt0087006,The Buddy System,1984,PG,110,5.8,"A quiet school truant officer, Joe, uncovers a young boy's attempt to fake a residential address, and subsequently gets involved romantically with the boy's mother. The truant officer ...                See full summary »",Glenn Jordan,"Richard Dreyfuss, 
Susan Sarandon, 
Nancy Allen, 
Jean Stapleton",1426,1820049.0,"Romance, Drama, Comedy"
tt0097424,Getting It Right,1989,R,102,6.4,"Gavin is thirty-one-years-old and still lives with his parents. He is awfully shy, but before he knows it, there are three women interested in him. Lady Minerva Munday has a casual way of ...                See full summary »",Randal Kleiser,"Jesse Birdsall, 
Helena Bonham Carter, 
Jane Horrocks, 
Pat Heywood",737,960385.0,"Romance, Comedy, Drama"
tt0105885,Zebrahead,1992,R,100,6.3,"A white, hip-hop loving teen falls in love with a black girl.",Anthony Drazan,"Michael Rapaport, 
DeShonn Castle, 
Kevin Corrigan, 
Lois Bendler",1400,1468300.0,"Romance, Drama"
tt0401244,The Baxter,2005,PG-13,91,6.5,"In the style of a Howard Hawks comedy, Baxter follows the twists and turns of a young man's life during the two weeks before his wedding.",Michael Showalter,"Michael Showalter, 
Elizabeth Banks, 
Peter Dinklage, 
Michelle Williams",4866,181872.0,"Romance, Comedy"
tt0072826,Cousin cousine,1975,R,95,6.7,"Two distant cousins meet at a wedding banquet for an elderly couple. Over time, a close friendship develops between them, but their spouses begin to think that they are more than just friends.",Jean-Charles Tacchella,"Marie-Christine Barrault, 
Victor Lanoux, 
Marie-France Pisier, 
Guy Marchand",1667,8700000.0,"Romance, Comedy"
tt0093253,In the Mood,1987,PG-13,98,6.1,"A 14-year-old nicknamed the 'Woo Woo Kid', is a teenage casanova who has affairs and runs away to marry two older women, mothers themselves, fascinating the public and the media with his romantic prowess.",Phil Alden Robinson,"Patrick Dempsey, 
Talia Balsam, 
Beverly D'Angelo, 
Michael Constantine",1047,999382.0,"Romance, Comedy"
tt0141105,Free Enterprise,1998,R,113,6.7,"Two less than successful film producers, approaching mid-life crisis and clinging to their nerdy sci-fi obsessions, suddenly meet their idol: William Shatner.",Robert Meyer Burnett,"Rafer Weigel, 
Eric McCormack, 
William Shatner, 
Carl Bressler",3314,30229.0,"Romance, Comedy"
tt1880415,Battlecreek,2017,R,97,5.7,"Henry is a loner and a night owl. His rare skin disease has kept him under the close watch of his fiery mother, who has sheltered him his entire life. One night, a young woman's car breaks down and Henry's life will change forever.",Alison Eastwood,"Bill Skarsgård, 
Paula Malcomson, 
Delroy Lindo, 
Claire van der Boom",1041,42884.0,"Romance, Drama"
tt0094020,Square Dance,1987,PG-13,112,5.7,A 13-year-old girl changes a pleasant life in the countryside for a troubled life in the city.,Daniel Petrie,"Jason Robards, 
Jane Alexander, 
Winona Ryder, 
Rob Lowe",1022,225358.0,"Romance, Drama"
tt0053645,Bells Are Ringing,1960,Not Rated,126,6.9,"A Brooklyn answering service operator becomes involved in the lives of her clients, including a struggling playwright with whom she begins to fall in love.",Vincente Minnelli,"Judy Holliday, 
Dean Martin, 
Fred Clark, 
Eddie Foy Jr.",3556,6158500.0,"Romance, Comedy, Musical"
